"1001","10","1","Sweets","0","0","0"
"1002","10","1","Sweets while spinning","0","0","0"
"1003","10","1","Perfect from Sweets","0","0","0"
"1004","10","1","Chocobi","0","0","0"
"1005","10","2","Treasures","0","0","0"
"1006","10","1","Hearts","0","1","・Hearts will appear while running."
"1007","10","1","Grunts","0","1","・Grunts will appear while running."
"1008","10","1","Every Jump","0","0","0"
"1009","10","1","Every Double Jump","0","1","・Jumps after jumping on veggies do not count."
"1010","10","1","Every 10m","0","0","0"
"1011","10","1","Enemies","0","0","0"
"1012","10","1","Pepper","0","1","・Does not work with skills which give +x% enemy score."
"2001","20","1","Magnet","Magnet grows Stronger!","0","0"
"2002","20","1","Ladder","Ladders last longer!","0","0"
"2003","20","1","Crayon Rocket","Crayon Rockets last longer!","1","・Duration of Starting Dash and Last Spurt is not increased."
"2004","20","1","Starting Dash","Starting Dash lasts longer!","0","・Does not activate during Transformation Mode."
"2005","20","1","Fire Mode","Invincibility Mode lasts longer!","0","0"
"2006","20","1","Last Spurt","0","1","・Activates at the end of a run. \n・The run is over when the skill effect ends."
"3001","30","1","Kasukabe Barriers (prevent 1 damage)","Kasukabe Barriers (prevent 1 damage)","0","0"
"4001","40","1","Crayon Rocket Launch","Get on a Rocket after beating enemy","1","・Enemies smashed under duration of Starting Dash or Crayon Rocket do not count. \n・Among Costume and Crew skills@comma@ the one with the lowest value will go into effect."
"4002","40","1","Ladders","0","1","・While ladders are active@comma@ or during Starting Dash@comma@ Crayon Rockets or Last Spurt@comma@ enemies smashed are not counted. \n・Among Costume and Crew skills@comma@ the one with the lowest value will go into effect."
"4003","40","1","Magnets","0","1","・While magnets are active@comma@ or during Starting Dash@comma@ Crayon Rockets or Last Spurt@comma@ enemies smashed are not counted. \n・Among Costume and Crew skills@comma@ the one with the lowest value will go into effect."
"4004","40","1","Kasukabe Barriers (prevent 1 damage)","0","1","・While a Kasukabe Barrier is active@comma@ or during Starting Dash@comma@ Crayon Rockets or Last Spurt@comma@ enemies smashed are not counted. \n・Among Costume and Crew skills@comma@ the one with the lowest value will go into effect."
