"10",,"%",,"1"
"20",,"%",,"1"
"30",,"%",,"1"
"40",,"%",,"1"
"50",,"Pts",,"1"
"60",,"Pts",,"1"
"70",,"sec",,"2"
"80",,"sec",,"2"
"90",,"sec",,"2"
"100",,"sec",,"3"
"110",,"%",,"3"
"120",,,,"3"
"130",,"sec",,"3"
"140",,,,"3"
"150",,"%",,"1"
"160",,"sec",,"2"
"170",,"Pts",,"3"
"180",,"Pts",,"3"
"190",,"%",,"3"
"200",,"%",,"1"
"210",,"%",,"1"
"230",,"%",,"1"
"240",,"%",,"1"
"250",,"%",,"1"
"260",,"%",,"3"
"270",,"Smashed",,"3"
"280",,"Smashed",,"3"
"290",,"Smashed",,"3"
"300",,"Smashed",,"3"
"310",,"Pts",,"3"
"320",," ",,"3"
"330",," ",,"3"
"340",," ",,"3"
"350",," ",,"3"
"360",,"Pts",,"3"
"370",," ",,"3"
"380",,"%",,"3"
"390",,"sec",,"3"
"400",,"sec",,"3"
"410",,"sec",,"3"
"420",,"sec",,"3"
"430",,"sec",,"3"
"440",,"%",,"3"
"450",,"%",,"3"
"460",,"%",,"3"
"470",,"%",,"3"
"480",,"sec",,"3"
"490",,"sec",,"3"
"500",,"sec",,"3"
"510",,"sec",,"3"
"520",,"sec",,"3"
"530",,"sec",,"3"
"540",,"sec",,"3"
"550",,"sec",,"2"
"560",,,,"3"
"570",,,,"1"
"580",,"Pts",,"1"
"590",,"Pts",,"1"
"600",,"Pts",,"3"
"610",,,,"3"
"620",,,,"3"
"630",,,,"3"
"640",,,,"3"
"650",,,,"3"
"660",,,,"3"
"670",,,,"3"
"680",,,,"3"
"690",,,,"3"
"700",,,,"3"
"710",,,,"3"
"720",,,,"3"
"730",,,,"3"
"740",,,,"3"
"750",,,,"3"
"760",,,,"3"
"770",,,,"3"
"780",,,,"3"
"790",,,,"3"
"800",,,,"1"
"810",,"%",,"3"
"820",,,,"2"
"830",,"%",,"3"
"840",,,,"1"
"850",,"%",,"1"
"860",,"%",,"1"
"870",,"%",,"1"
"880",,"%",,"1"
"890",,"%",,"1"
"900",,"%",,"1"
"910",,"%",,"1"
"920",,"sec",,"0"
"930",,"%",,"0"
"940",,"sec",,"0"
"950",,,,"0"
"960",,,,"0"
"970",,"Smashed",,"0"
"980",,,,"0"
"990",,,,"0"
"1000",,,,"0"
"1010",,,,"0"
"1020",,,,"0"
"1030",,,,"0"
"1040",,,,"0"
"1050",,,,"0"
"1060",,,,"0"
"1070",,,,"0"
"1080",,,,"0"
"1090",,,,"0"
"1100",,,,"0"
"1110",,,,"0"
"1120",,,,"0"
"1130",,,,"0"
"1140",,,,"0"
"1150",,,,"0"
"1160",,,,"0"
"1170",,,,"0"
"1180",,,,"0"
"1190",,,,"0"
"1200",,,,"0"
"1210",,,,"0"
"1220",,,,"0"
"1230",,,,"0"
"1240",,,,"0"
"5010",,"%",,"5"
"5020",,"%",,"5"
"5030",,"%",,"5"
"5040",,"%",,"5"
"5050",,"%",,"5"
"5060",,"%",,"5"
"5070",,"%",,"5"
"5080",,"%",,"5"
"5090",,"%",,"5"
"5100",,"%",,"5"
"5110",,"%",,"5"
"5120",,"%",,"5"
"5130",,"%",,"5"
"5140",,"%",,"5"
"5150",,"%",,"5"
"5160",,"%",,"5"
"5170",,"%",,"5"
"5180",,,,"6"
"5190",,,,"6"
"5200",,,,"6"
"5210",,,,"6"
"5220",,,,"6"
"5230",,,,"6"
"5240",,,,"6"
"5250",,,,"6"
"5260",,,,"6"
"5270",,,,"6"
"5280",,,,"6"
"5290",,,,"6"
"5300",,,,"6"
"5310",,,,"6"
"5320",,,,"6"
"5330",,,,"6"
"5340",,,,"6"
"5350",,,,"6"
"5360",,,,"6"
"5370",,,,"6"
"5380",,,,"7"
"5390",,,,"7"
"10010",,,,"0"
"10020",,,,"0"
"10030",,,,"0"
"10040",,,,"0"
"10050",,,,"0"
"10060",,,,"0"
"10070",,,,"0"
"10080",,,,"0"
"10090",,,,"0"
"10100",,,,"0"
"10110",,,,"0"
"10120",,,,"0"
"10130",,,,"0"
"10140",,,,"0"
"10150",,,,"0"
"10160",,,,"0"
"10170",,,,"0"
"10180",,,,"0"
"10190",,,,"0"
"10200",,,,"0"
