"500","1","1","0"
"500","2","0","0"
"500","3","1","0"
"500","4","0","0"
"500","5","0","0"
"500","6","0","0"
"500","7","0","0"
"500","8","0","0"
"500","9","0","0"
"500","10","0","0"
"500","11","0","0"
"500","12","0","0"
"500","13","0","0"
"500","14","0","0"
"500","15","0","0"
"500","16","0","0"
"500","17","0","0"
"500","18","0","0"
"500","19","0","0"
"500","20","0","0"
"500","21","0","0"
"1000","2","2000","0"
"1000","3","10000","0"
"1000","4","30000","0"
"1000","5","60000","0"
"1000","6","120000","0"
"1001","2","120","0"
"1001","3","300","0"
"1001","4","600","0"
"1001","5","850","0"
"1001","6","1100","0"
"1002","2","250","0"
"1002","3","500","0"
"1002","4","750","0"
"1002","5","1000","0"
"1002","6","1250","0"
"1100","1","21","2"
"1100","1","22","2"
"1100","1","23","2"
"1100","1","24","3"
"1100","1","25","10"
"1100","1","26","2"
"1100","1","27","10"
"1100","1","28","2"
"1100","1","29","2"
"1100","1","30","2"
"1100","1","31","3"
"1100","1","32","0"
"1100","1","33","0"
"1100","2","35","2"
"1100","2","36","2"
"1100","2","37","2"
"1100","2","38","8"
"1100","2","39","2"
"1100","2","40","2"
"1100","2","41","8"
"1100","2","42","2"
"1100","2","43","0"
"1100","2","44","2"
"1100","2","45","0"
"1100","2","46","0"
"1100","2","199","2"
"1100","2","200","2"
"1100","2","201","2"
"1100","2","202","2"
"1100","2","203","2"
"1100","3","48","2"
"1100","3","49","2"
"1100","3","50","2"
"1100","3","51","6"
"1100","3","52","2"
"1100","3","53","6"
"1100","3","54","6"
"1100","3","55","2"
"1100","3","56","2"
"1100","3","57","2"
"1100","3","58","0"
"1100","3","59","0"
"1100","3","60","2"
"1100","3","61","2"
"1100","3","62","2"
"1100","3","63","0"
"1100","3","64","0"
"1100","3","204","2"
"1100","3","205","2"
"1100","3","206","2"
"1100","3","207","2"
"1100","3","208","2"
"1100","4","66","4"
"1100","4","67","4"
"1100","4","68","4"
"1100","4","69","6"
"1100","4","70","6"
"1100","4","71","6"
"1100","4","72","6"
"1100","4","73","6"
"1100","4","74","6"
"1100","4","75","5"
"1100","4","76","6"
"1100","4","77","6"
"1100","4","78","0"
"1100","4","79","6"
"1100","4","80","6"
"1100","4","81","6"
"1100","4","82","0"
"1100","4","83","0"
"1100","4","196","5"
"1100","4","197","5"
"1100","4","198","5"
"1100","4","209","5"
"1100","5","85","2"
"1100","5","86","2"
"1100","5","87","2"
"1100","5","88","4"
"1100","5","89","4"
"1100","5","90","4"
"1100","5","91","4"
"1100","5","92","4"
"1100","5","93","4"
"1100","5","94","4"
"1100","5","95","4"
"1100","5","96","4"
"1100","5","97","4"
"1100","5","98","4"
"1100","5","99","4"
"1100","5","100","4"
"1100","5","101","4"
"1100","5","102","0"
"1100","5","103","0"
"1100","5","104","3"
"1100","5","105","0"
"1100","5","106","3"
"1100","5","107","3"
"1100","5","108","3"
"1100","5","109","0"
"1100","5","110","0"
"1100","5","111","0"
"1100","5","112","0"
"1100","5","196","3"
"1100","5","197","3"
"1100","5","198","3"
"1100","5","209","3"
"1100","6","114","2"
"1100","6","115","2"
"1100","6","116","2"
"1100","6","117","3"
"1100","6","118","3"
"1100","6","119","3"
"1100","6","120","3"
"1100","6","121","3"
"1100","6","122","3"
"1100","6","123","3"
"1100","6","124","3"
"1100","6","125","3"
"1100","6","126","8"
"1100","6","127","0"
"1100","6","128","1"
"1100","6","129","1"
"1100","6","130","3"
"1100","6","131","3"
"1100","6","132","3"
"1100","6","133","3"
"1100","6","134","3"
"1100","6","135","3"
"1100","6","136","3"
"1100","6","137","3"
"1100","6","138","3"
"1100","6","139","3"
"1100","6","140","3"
"1100","6","141","3"
"1100","6","142","3"
"1100","6","143","3"
"1100","6","144","3"
"1100","6","145","0"
"1100","6","146","3"
"1100","6","147","2"
"1100","6","148","3"
"1100","6","149","0"
"1100","6","150","0"
"1100","6","151","0"
"1100","6","152","0"
"1100","6","153","2"
"1100","6","154","1"
"1100","6","155","0"
"1100","6","156","2"
"1100","6","162","0"
"1100","6","163","0"
"1100","100","164","10"
"1100","100","165","10"
"1100","100","166","10"
