"1","1","0","1","0"
"2","2","50","2","500"
"3","3","200","3","500"
"4","4","500","4","500"
"5","5","950","5","500"
"6","6","1550","6","1000"
"7","7","2350","7","1000"
"8","8","3350","8","1000"
"9","9","4550","9","1000"
"10","10","5950","10","1000"
"11","11","7550","11","1100"
"12","12","9350","12","1200"
"13","13","11350","13","1300"
"14","14","13550","14","1400"
"15","15","15950","15","1500"
"16","16","18550","16","1600"
"17","17","21350","17","1700"
"18","18","24350","18","1800"
"19","19","27550","19","1900"
"20","20","30950","20","2000"
"21","21","34550","20","2100"
"22","22","38350","21","2200"
"23","23","42350","21","2300"
"24","24","46550","22","2400"
"25","25","50950","22","2500"
"26","26","55550","23","2600"
"27","27","60350","23","2700"
"28","28","65350","24","2800"
"29","29","70550","24","2900"
"30","30","75950","25","3000"
"31","31","81600","25","3100"
"32","32","87500","26","3200"
"33","33","93650","26","3300"
"34","34","100050","27","3400"
"35","35","106700","27","3500"
"36","36","113600","28","3600"
"37","37","120750","28","3700"
"38","38","128150","29","3800"
"39","39","135800","29","3900"
"40","40","143700","30","4000"
"41","41","151850","30","4100"
"42","42","160250","31","4200"
"43","43","168900","31","4300"
"44","44","177800","31","4400"
"45","45","186950","32","4500"
"46","46","196350","32","4600"
"47","47","206000","32","4700"
"48","48","215900","33","4800"
"49","49","226050","33","4900"
"50","50","236450","33","5000"
"51","51","247150","34","5000"
"52","52","258150","34","5000"
"53","53","269450","34","5000"
"54","54","281050","35","5000"
"55","55","292950","35","5000"
"56","56","305150","35","5000"
"57","57","317650","36","5000"
"58","58","330450","36","5000"
"59","59","343550","36","5000"
"60","60","356950","37","5000"
"61","61","370750","37","5000"
"62","62","384950","37","5000"
"63","63","399550","38","5000"
"64","64","414550","38","5000"
"65","65","429950","38","5000"
"66","66","445750","39","5000"
"67","67","461950","39","5000"
"68","68","478550","39","5000"
"69","69","495550","40","5000"
"70","70","512950","40","5000"
"71","71","530850","40","5000"
"72","72","549250","41","5000"
"73","73","568150","41","5000"
"74","74","587550","41","5000"
"75","75","607450","42","5000"
"76","76","627850","42","5000"
"77","77","648750","42","5000"
"78","78","670150","43","5000"
"79","79","692050","43","5000"
"80","80","714450","43","5000"
"81","81","737450","44","5000"
"82","82","761050","44","5000"
"83","83","785250","44","5000"
"84","84","810050","45","5000"
"85","85","835450","45","5000"
"86","86","861550","45","5000"
"87","87","888350","46","5000"
"88","88","915850","46","5000"
"89","89","944050","46","5000"
"90","90","972950","47","5000"
"91","91","1002650","47","5000"
"92","92","1033150","47","5000"
"93","93","1064450","48","5000"
"94","94","1096550","48","5000"
"95","95","1129450","48","5000"
"96","96","1163250","49","5000"
"97","97","1197950","49","5000"
"98","98","1233550","49","5000"
"99","99","1270050","50","5000"
