"1","FeverStageLv1Group101"
"2","FeverStageLv1Group102"
"3","FeverStageLv1Group103"
"4","FeverStageLv1Group104"
"5","FeverStageLv1Group105"
"6","FeverStageLv1Group106"
"7","FeverStageLv1Group107"
"8","FeverStageLv1Group108"
"9","FeverStageLv1Group109"
"10","FeverStageLv1Group110"
"256","FeverStageLv1Group111"
"258","FeverStageLv1Group112"
"269","FeverStageLv1Group113"
"272","FeverStageLv1Group114"
"273","FeverStageLv1Group115"
"274","FeverStageLv1Group116"
"275","FeverStageLv1Group117"
"303","FeverStageLv1Group118"
"11","Group00001"
"12","Group00002"
"13","Group00003"
"14","Group00004"
"15","Group00005"
"20","Group00009"
"16","Group01010"
"17","Group01020"
"18","Group01030"
"19","Group01040"
"21","Group10001"
"35","Group10002"
"48","Group10003"
"66","Group10004"
"85","Group10005"
"114","Group10006"
"22","Group10101"
"36","Group10102"
"49","Group10103"
"67","Group10104"
"86","Group10105"
"115","Group10106"
"23","Group10201"
"37","Group10202"
"50","Group10203"
"68","Group10204"
"87","Group10205"
"116","Group10206"
"38","Group20002"
"51","Group20103"
"88","Group20105"
"24","Group20201"
"39","Group20202"
"196","Group20409"
"197","Group20509"
"198","Group20609"
"199","Group20709"
"117","Group21006"
"200","Group21209"
"201","Group21309"
"202","Group21409"
"203","Group21509"
"204","Group21609"
"205","Group21709"
"206","Group21809"
"207","Group21909"
"40","Group22002"
"118","Group22006"
"208","Group22009"
"209","Group22109"
"210","Group22309"
"211","Group22409"
"212","Group22509"
"213","Group22609"
"214","Group22709"
"215","Group22809"
"216","Group22909"
"217","Group23009"
"218","Group23109"
"219","Group23209"
"220","Group23309"
"221","Group23409"
"222","Group23509"
"223","Group23609"
"224","Group23709"
"225","Group23809"
"226","Group23909"
"227","Group24009"
"228","Group24109"
"229","Group24209"
"230","Group24309"
"231","Group24409"
"232","Group24509"
"233","Group24609"
"253","Group24709"
"254","Group24809"
"255","Group24909"
"257","Group25009"
"270","Group25109"
"271","Group25209"
"286","Group25309"
"287","Group25409"
"288","Group25509"
"289","Group25609"
"290","Group25709"
"301","Group25809"
"306","Group25909"
"307","Group26009"
"308","Group26109"
"309","Group26209"
"319","Group26309"
"317","Group26409"
"318","Group26509"
"320","Group26909"
"41","Group30002"
"25","Group30101"
"26","Group30201"
"52","Group30203"
"69","Group30204"
"119","Group30206"
"27","Group30301"
